Артикул;Название;Цена;URL
120931;Фильтр в сборе  ВАРЯГ МБ-701;1,048;https://hoztorgr.ru/catalog/168f-170f-bk-700-mb-701-801-8150/filtr-v-sbore-varyag-mb-701/
17579;Элемент воздушного фильтра б/триммера 43сс/52сс;25;https://hoztorgr.ru/catalog/zapchasti-dlya-benzotrimmerov/element-vozdushnogo-filtra-b-trimmera-43ss-52ss/
18136;Воздушный фильтр в сборе б/триммера 43сс/52сс;136;https://hoztorgr.ru/catalog/zapchasti-dlya-benzotrimmerov/vozdushnyy-filtr-v-sbore-b-trimmera-43ss-52ss/
5170;"Ниппель 16х1/2""ц/г (1/1)";189;https://hoztorgr.ru/catalog/metalloplastik/nippel-16kh1-2-ts-g-1-1/
18446;"Водонагреватель  HAIER над мойкой ES 15V-RQ2 (15л, 1,5кВт, 1/2"" подкл, 8Бар) (1/1)";8,104;https://hoztorgr.ru/catalog/vodonagrevateli-nakopitelnye-i-komplektuyushchie/vodonagrevatel-haier-nad-moykoy-es-15v-rq2-15l-1-5kvt-1-2-podkl-8bar-1-1/
18445;"Водонагреватель  HAIER над мойкой ES 15V-RQ1 (15л, 1,5кВт, 1/2"" подкл, 8Бар) (1/1)";8,104;https://hoztorgr.ru/catalog/vodonagrevateli-nakopitelnye-i-komplektuyushchie/vodonagrevatel-haier-nad-moykoy-es-15v-rq1-15l-1-5kvt-1-2-podkl-8bar-1-1/
18133;Пена монтажная под пистолет 900 мл Варяг Профи 70 (1/12);450;https://hoztorgr.ru/catalog/pena-montazhnaya-germetiki-i-ochistitel-kley/pena-montazhnaya-pod-pistolet-900-ml-varyag-profi-70-1-12/
18132;Пена монтажная бытовая 700 мл Варяг СТАНДАРТ (1/12);256;https://hoztorgr.ru/catalog/pena-montazhnaya-germetiki-i-ochistitel-kley/pena-montazhnaya-bytovaya-700-ml-varyag-standart-1-12/
18131;Пена монтажная бытовая 700 мл Варяг МАСТЕР (1/12);314;https://hoztorgr.ru/catalog/pena-montazhnaya-germetiki-i-ochistitel-kley/pena-montazhnaya-bytovaya-700-ml-varyag-master-1-12/
18130;Очиститель монтажной пены 500 мл Варяг (1/12);132;https://hoztorgr.ru/catalog/pena-montazhnaya-germetiki-i-ochistitel-kley/ochistitel-montazhnoy-peny-500-ml-varyag-1-12/
18378;Колосниковая решетка РУ-4 400 х 200 мм (3/3);840;https://hoztorgr.ru/catalog/pechnoe-lite/kolosnikovaya-reshetka-ru-4-400-kh-200-mm-3-3/
18472;"Кран водоразборный 1/2"" (пластик) круглая ручка (1/500)";83;https://hoztorgr.ru/catalog/zapornaya-armatura-dlya-vody/kran-vodorazbornyy-1-2-plastik-kruglaya-ruchka-1-500/
18471;"Кран водоразборный 1/2"" со штуцером (пластик) плоская ручка (1/500)";76;https://hoztorgr.ru/catalog/zapornaya-armatura-dlya-vody/kran-vodorazbornyy-1-2-so-shtutserom-plastik-ploskaya-ruchka-1-500/
18470;"Кран водоразборный 1/2"" (пластик) крестовая ручка (1/500)";74;https://hoztorgr.ru/catalog/zapornaya-armatura-dlya-vody/kran-vodorazbornyy-1-2-plastik-krestovaya-ruchka-1-500/
18469;"Кран водоразборный 1/2"" со штуцером (Цинк/хром) (1/150)";265;https://hoztorgr.ru/catalog/zapornaya-armatura-dlya-vody/kran-vodorazbornyy-1-2-so-shtutserom-tsink-khrom-1-150/
18468;"Кран водоразборный 1/2"" (Цинк/хром) (1/150)";213;https://hoztorgr.ru/catalog/zapornaya-armatura-dlya-vody/kran-vodorazbornyy-1-2-tsink-khrom-1-150/
18467;"Кран на одну воду с коротким изливом (пластик) Цвет белый 1/2"" (1/100)";155;https://hoztorgr.ru/catalog/zapornaya-armatura-dlya-vody/kran-na-odnu-vodu-s-korotkim-izlivom-plastik-tsvet-belyy-1-2-1-100/
18466;"Кран на одну воду с высоким изливом (пластик) Цвет рисовый 1/2"" (1/150)";191;https://hoztorgr.ru/catalog/zapornaya-armatura-dlya-vody/kran-na-odnu-vodu-s-vysokim-izlivom-plastik-tsvet-risovyy-1-2-1-150/
18441;Радиатор панельный стальной 500х2000мм, Bor-San ТУРЦИЯ 22 Classik крепление внутри (1/1);11,037;https://hoztorgr.ru/catalog/radiatory-panelnye/radiator-panelnyy-stalnoy-500kh2000mm-bor-san-turtsiya-22-classik-kreplenie-vnutri-1-1/
18440;Радиатор панельный стальной 500х1800мм, Bor-San ТУРЦИЯ 22 Classik крепление внутри (1/1);10,106;https://hoztorgr.ru/catalog/radiatory-panelnye/radiator-panelnyy-stalnoy-500kh1800mm-bor-san-turtsiya-22-classik-kreplenie-vnutri-1-1/
